Ticker,Code,Name,Industry,Sector
159930.SZ,159930.SZ,能源ETF汇添富,中证能源指数,中证能源指数
515000.SH,515000.SH,科技ETF华宝,中证科技龙头指数收益率,中证科技龙头指数收益率
159998.SZ,159998.SZ,计算机ETF天弘,中证计算机主题指数收益率,中证计算机主题指数收益率
560710.SH,560710.SH,船舶ETF富国,—,—
159825.SZ,159825.SZ,农业ETF富国,中证农业主题指数收益率,中证农业主题指数收益率
588020.SH,588020.SH,科创成长ETF易方达,上证科创板成长指数收益率,上证科创板成长指数收益率
515300.SH,515300.SH,300红利低波ETF嘉实,沪深300红利低波动指数收益率,沪深300红利低波动指数收益率
159859.SZ,159859.SZ,生物医药ETF天弘,国证生物医药指数收益率,国证生物医药指数收益率
513070.SH,513070.SH,港股通消费ETF易方达,中证港股通消费主题指数收益率(使用估值汇率折算),中证港股通消费主题指数收益率(使用估值汇率折算)
159745.SZ,159745.SZ,建材ETF国泰,中证全指建筑材料指数收益率,中证全指建筑材料指数收益率
159256.SZ,159256.SZ,创业板软件ETF华夏,—,—
159758.SZ,159758.SZ,红利质量ETF华夏,中证红利质量指数收益率,中证红利质量指数收益率
159141.SZ,159141.SZ,科创创业人工智能ETF永赢,—,—
516520.SH,516520.SH,智能驾驶ETF华泰柏瑞,中证智能汽车主题指数收益率,中证智能汽车主题指数收益率
513360.SH,513360.SH,教育ETF博时,中证全球中国教育主题指数(人民币)收益率,中证全球中国教育主题指数(人民币)收益率
515650.SH,515650.SH,消费50ETF富国,中证消费50指数收益率,中证消费50指数收益率
510230.SH,510230.SH,金融ETF国泰,上证180金融股指数,上证180金融股指数
159747.SZ,159747.SZ,香港科技ETF南方,经估值汇率调整的中证香港科技指数收益率,经估值汇率调整的中证香港科技指数收益率
561580.SH,561580.SH,央企红利ETF华泰柏瑞,中证中央企业红利指数收益率,中证中央企业红利指数收益率
159997.SZ,159997.SZ,电子ETF天弘,中证电子指数收益率,中证电子指数收益率
516970.SH,516970.SH,基建ETF广发,中证基建工程指数收益率,中证基建工程指数收益率
159996.SZ,159996.SZ,家电ETF国泰,中证全指家用电器指数收益率,中证全指家用电器指数收益率
159707.SZ,159707.SZ,地产ETF华宝,中证800地产指数收益率,中证800地产指数收益率
159698.SZ,159698.SZ,粮食ETF鹏华,国证粮食产业指数收益率,国证粮食产业指数收益率
560080.SH,560080.SH,中药ETF汇添富,中证中药指数收益率,中证中药指数收益率
513730.SH,513730.SH,东南亚科技ETF华泰柏瑞,—,—
560170.SH,560170.SH,央企科技ETF南方,中证国新央企科技引领指数,中证国新央企科技引领指数
588010.SH,588010.SH,科创新材料ETF博时,上证科创板新材料指数收益率,上证科创板新材料指数收益率
560980.SH,560980.SH,光伏龙头ETF广发,中证光伏龙头30指数收益率,中证光伏龙头30指数收益率
516620.SH,516620.SH,影视ETF国泰,中证影视主题指数收益率,中证影视主题指数收益率
159378.SZ,159378.SZ,通用航空ETF永赢,—,—
562080.SH,562080.SH,300现金流ETF华宝,—,—
510410.SH,510410.SH,资源ETF博时,上证自然资源指数收益率,上证自然资源指数收益率
516110.SH,516110.SH,汽车ETF国泰,中证800汽车与零部件指数收益率,中证800汽车与零部件指数收益率
562570.SH,562570.SH,信创ETF华夏,—,—
560570.SH,560570.SH,A500红利ETF国联安,—,—
159623.SZ,159623.SZ,成渝经济圈ETF博时,中证成渝地区双城经济圈成份指数收益率,中证成渝地区双城经济圈成份指数收益率
560120.SH,560120.SH,中证500现金流ETF华夏,—,—
159837.SZ,159837.SZ,生物科技ETF易方达,中证生物科技主题指数收益率,中证生物科技主题指数收益率
562310.SH,562310.SH,沪深300成长ETF银华,沪深300成长指数收益率,沪深300成长指数收益率
588700.SH,588700.SH,科创医药ETF嘉实,—,—
159565.SZ,159565.SZ,汽车零部件ETF易方达,—,—
520580.SH,520580.SH,新兴亚洲ETF招商,—,—
516910.SH,516910.SH,物流ETF富国,中证现代物流指数收益率,中证现代物流指数收益率
563210.SH,563210.SH,专精特新ETF富国,—,—
159811.SZ,159811.SZ,5GETF博时,中证5G产业50指数收益率,中证5G产业50指数收益率
517770.SH,517770.SH,游戏传媒ETF浦银,中证沪港深游戏及文化传媒指数收益率,中证沪港深游戏及文化传媒指数收益率
