ticker_raw,name_cn,sub_industry,gics_sector,hs_sector,code
9868 HK,小鹏汽车-W,汽车,Consumer Discretionary,非必需性消费,9868.HK
175 HK,吉利汽车,汽车,Consumer Discretionary,非必需性消费,0175.HK
2015 HK,理想汽车-W,汽车,Consumer Discretionary,非必需性消费,2015.HK
2333 HK,长城汽车,汽车,Consumer Discretionary,非必需性消费,2333.HK
9863 HK,零跑汽车,汽车,Consumer Discretionary,非必需性消费,9863.HK
9866 HK,蔚来-SW,汽车,Consumer Discretionary,非必需性消费,9866.HK
9927 HK,赛力斯,汽车,Consumer Discretionary,非必需性消费,9927.HK
3606 HK,福耀玻璃,汽车,Consumer Discretionary,原材料业,3606.HK
425 HK,敏实集团,汽车,Consumer Discretionary,原材料业,0425.HK
1316 HK,耐世特,汽车,Consumer Discretionary,工业,1316.HK
2338 HK,潍柴动力,汽车,Industrials,工业,2338.HK
3808 HK,中国重汽,汽车,Industrials,工业,3808.HK
425 HK,敏实集团,汽车,Consumer Discretionary,原材料业,0425.HK
3606 HK,福耀玻璃,汽车,Consumer Discretionary,原材料业,3606.HK
881 HK,中升控股,汽车,Consumer Discretionary,非必需性消费,0881.HK
2525 HK,禾赛-W,智能驾驶,Consumer Discretionary,工业,2525.HK
800 HK,文远知行-W,智能驾驶,Consumer Discretionary,非必需性消费,0800.HK
2026 HK,小马智行-W,智能驾驶,Information Technology,非必需性消费,2026.HK
9660 HK,地平线机器人-W,智能驾驶,Information Technology,资讯科技业,9660.HK
2533 HK,黑芝麻智能,智能驾驶,Information Technology,工业,2533.HK
2020 HK,安踏体育,耐用品,Consumer Discretionary,非必需性消费,2020.HK
2331 HK,李宁,耐用品,Consumer Discretionary,非必需性消费,2331.HK
6110 HK,滔搏,耐用品,Consumer Discretionary,非必需性消费,6110.HK
3998 HK,波司登,耐用品,Consumer Discretionary,非必需性消费,3998.HK
1361 HK,361度,耐用品,Consumer Discretionary,非必需性消费,1361.HK
1368 HK,特步国际,耐用品,Consumer Discretionary,非必需性消费,1368.HK
2313 HK,申洲国际,耐用品,Consumer Discretionary,工业,2313.HK
551 HK,裕元集团,耐用品,Consumer Discretionary,工业,0551.HK
300 HK,美的集团,耐用品,Consumer Discretionary,非必需性消费,0300.HK
6690 HK,海尔智家,耐用品,Consumer Discretionary,资讯科技业,6690.HK
1070 HK,TCL电子,耐用品,Consumer Discretionary,非必需性消费,1070.HK
921 HK,海信家电,耐用品,Consumer Discretionary,非必需性消费,0921.HK
6690 HK,海尔智家,耐用品,Consumer Discretionary,资讯科技业,6690.HK
1913 HK,普拉达,耐用品,Consumer Discretionary,非必需性消费,1913.HK
1910 HK,新秀丽,耐用品,Consumer Discretionary,非必需性消费,1910.HK
1929 HK,周大福,零售,Consumer Discretionary,非必需性消费,1929.HK
6181 HK,老铺黄金,零售,Consumer Discretionary,非必需性消费,6181.HK
9992 HK,泡泡玛特,零售,Consumer Discretionary,非必需性消费,9992.HK
9896 HK,名创优品,零售,Consumer Discretionary,非必需性消费,9896.HK
325 HK,布鲁可,零售,Consumer Discretionary,非必需性消费,0325.HK
2517 HK,锅圈,零售,Consumer Staples,非必需性消费,2517.HK
1880 HK,中国中免,零售,Consumer Discretionary,非必需性消费,1880.HK
1768 HK,鸣鸣很忙,零售,Consumer Staples,非必需性消费,1768.HK
1797 HK,东方甄选,零售,Consumer Staples,非必需性消费,1797.HK
780 HK,同程旅行,消费服务,Consumer Discretionary,非必需性消费,0780.HK
ATAT US,亚朵,消费服务,Consumer Discretionary,非必需性消费,
1179 HK,华住集团-S,消费服务,Consumer Discretionary,非必需性消费,1179.HK
308 HK,香港中旅,消费服务,Consumer Discretionary,非必需性消费,0308.HK
2255 HK,海昌海洋公园,消费服务,Consumer Discretionary,非必需性消费,2255.HK
27 HK,银河娱乐,消费服务,Consumer Discretionary,非必需性消费,0027.HK
1928 HK,金沙中国有限公司,消费服务,Consumer Discretionary,非必需性消费,1928.HK
2282 HK,美高梅中国,消费服务,Consumer Discretionary,非必需性消费,2282.HK
1128 HK,永利澳门,消费服务,Consumer Discretionary,非必需性消费,1128.HK
9901 HK,新东方-S,消费服务,Consumer Discretionary,非必需性消费,9901.HK
TAL US,好未来,消费服务,Consumer Discretionary,非必需性消费,
9987 HK,百胜中国,消费服务,Consumer Discretionary,非必需性消费,9987.HK
6862 HK,海底捞,消费服务,Consumer Discretionary,非必需性消费,6862.HK
2097 HK,蜜雪集团,消费服务,Consumer Discretionary,非必需性消费,2097.HK
1364 HK,古茗,消费服务,Consumer Discretionary,非必需性消费,1364.HK
2589 HK,沪上阿姨,消费服务,Consumer Discretionary,非必需性消费,2589.HK
6969 HK,思摩尔国际,轻工,Consumer Staples,资讯科技业,6969.HK
6055 HK,中烟香港,轻工,Consumer Discretionary,必需性消费,6055.HK
2689 HK,玖龙纸业,轻工,Materials,原材料业,2689.HK
9633 HK,农夫山泉,食品饮料调味品/酒,Consumer Staples,必需性消费,9633.HK
322 HK,康师傅控股,食品饮料调味品/酒,Consumer Staples,必需性消费,0322.HK
9980 HK,东鹏饮料,食品饮料调味品/酒,Consumer Staples,必需性消费,9980.HK
291 HK,华润啤酒,食品饮料调味品/酒,Consumer Staples,必需性消费,0291.HK
168 HK,青岛啤酒股份,食品饮料调味品/酒,Consumer Staples,必需性消费,0168.HK
1876 HK,百威亚太,食品饮料调味品/酒,Consumer Staples,必需性消费,1876.HK
2319 HK,蒙牛乳业,食品饮料调味品/酒,Consumer Staples,必需性消费,2319.HK
6186 HK,中国飞鹤,食品饮料调味品/酒,Consumer Staples,必需性消费,6186.HK
288 HK,万洲国际,食品饮料调味品/酒,Consumer Staples,必需性消费,0288.HK
1579 HK,颐海国际,食品饮料调味品/酒,Consumer Staples,必需性消费,1579.HK
2648 HK,安井食品,食品饮料调味品/酒,Consumer Staples,必需性消费,2648.HK
3288 HK,海天味业,食品饮料调味品/酒,Consumer Staples,必需性消费,3288.HK
9985 HK,卫龙美味,食品饮料调味品/酒,Consumer Staples,必需性消费,9985.HK
2419 HK,德康农牧,农林牧渔,Consumer Staples,必需性消费,2419.HK
2714 HK,牧原股份,农林牧渔,Consumer Staples,必需性消费,2714.HK
9858 HK,优然牧业,农林牧渔,Consumer Staples,原材料业,9858.HK
1318 HK,毛戈平,美妆个护,Consumer Staples,非必需性消费,1318.HK
2145 HK,上美股份,美妆个护,Consumer Staples,非必需性消费,2145.HK
2367 HK,巨子生物,美妆个护,Consumer Staples,医疗保健业,2367.HK
2698 HK,乐舒适,美妆个护,Consumer Staples,原材料业,2698.HK
6699 HK,时代天使,美妆个护,Health Care,医疗保健业,6699.HK
241 HK,阿里健康,互联网药店,Consumer Staples,医疗保健业,0241.HK
6618 HK,京东健康,互联网药店,Consumer Staples,医疗保健业,6618.HK
1833 HK,平安好医生,互联网药店,Consumer Staples,医疗保健业,1833.HK
