Ticker,Code,Name,Industry,Sector
IYR.US,IYR,iShares U.S. Real Estate ETF,Real Estate / REIT,Real Estate / REIT
BOTZ.US,BOTZ,Global X Robotics & Artificial ,Robotics/AI,Robotics/AI
IWB.US,IWB,iShares Russell 1000 ETF,Russell 1000,Russell 1000
IWF.US,IWF,iShares Russell 1000 Growth ETF,Russell 1000 Growth,Russell 1000 Growth
IWD.US,IWD,iShares Russell 1000 Value ETF,Russell 1000 Value,Russell 1000 Value
IWM.US,IWM,iShares Russell 2000 ETF,Russell 2000,Russell 2000
SRTY.US,SRTY,ProShares UltraPro Short Russel,Russell 2000 3x Inverse,Russell 2000 3x Inverse
IWO.US,IWO,iShares Russell 2000 Growth ETF,Russell 2000 Growth,Russell 2000 Growth
IWN.US,IWN,iShares Russell 2000 Value ETF,Russell 2000 Value,Russell 2000 Value
IWV.US,IWV,iShares Russell 3000 ETF,Russell 3000,Russell 3000
OEF.US,OEF,iShares S&P 100 ETF,S&P 100,S&P 100
SPY.US,SPY,SPDR S&P 500 ETF Trust,S&P 500,S&P 500
SDS.US,SDS,ProShares UltraShort S&P500,S&P 500 2x Inverse,S&P 500 2x Inverse
UPRO.US,UPRO,ProShares UltraPro S&P 500,S&P 500 3x,S&P 500 3x
SPXU.US,SPXU,ProShares UltraPro Short S&P500,S&P 500 3x Inverse,S&P 500 3x Inverse
RSPC.US,RSPC,Invesco S&P 500 Equal Weight Co,S&P 500 EW Communication,S&P 500 EW Communication
RSPD.US,RSPD,Invesco S&P 500 Equal Weight Co,S&P 500 EW Consumer Disc,S&P 500 EW Consumer Disc
RSPS.US,RSPS,Invesco S&P 500 Equal Weight Co,S&P 500 EW Consumer Staples,S&P 500 EW Consumer Staples
RSPG.US,RSPG,Invesco S&P 500 Equal Weight En,S&P 500 EW Energy,S&P 500 EW Energy
RSPF.US,RSPF,Invesco S&P 500 Equal Weight Fi,S&P 500 EW Financials,S&P 500 EW Financials
RSPH.US,RSPH,Invesco S&P 500 Equal Weight He,S&P 500 EW Health Care,S&P 500 EW Health Care
RSPN.US,RSPN,Invesco S&P 500 Equal Weight In,S&P 500 EW Industrials,S&P 500 EW Industrials
RSPM.US,RSPM,Invesco S&P 500 Equal Weight Ma,S&P 500 EW Materials,S&P 500 EW Materials
RSPR.US,RSPR,Invesco S&P 500 Equal Weight Re,S&P 500 EW Real Estate,S&P 500 EW Real Estate
RSPT.US,RSPT,Invesco S&P 500 Equal Weight Te,S&P 500 EW Technology,S&P 500 EW Technology
RSPU.US,RSPU,Invesco S&P 500 Equal Weight Ut,S&P 500 EW Utilities,S&P 500 EW Utilities
RSP.US,RSP,Invesco S&P 500® Equal Weight ETF,S&P 500 Equal Weight,S&P 500 Equal Weight
XLC.US,XLC,Communication Services Select Sector,S&P Communication Services,S&P Communication Services
XLY.US,XLY,Consumer Discretionary Select Sector,S&P Consumer Discretionary,S&P Consumer Discretionary
XLP.US,XLP,Consumer Staples Select Sector SPDR®,S&P Consumer Staples,S&P Consumer Staples
XLE.US,XLE,Energy Select Sector SPDR® Fund,S&P Energy,S&P Energy
XLF.US,XLF,Financial Select Sector SPDR® Fund,S&P Financials,S&P Financials
XLV.US,XLV,Health Care Select Sector SPDR® Fund,S&P Health Care,S&P Health Care
XLI.US,XLI,Industrial Select Sector SPDR® Fund,S&P Industrials,S&P Industrials
XLK.US,XLK,Technology Select Sector SPDR® Fund,S&P Information Technology,S&P Information Technology
XLB.US,XLB,Materials Select Sector SPDR® Fund,S&P Materials,S&P Materials
XLRE.US,XLRE,The Real Estate Select Sector SPDR F,S&P Real Estate,S&P Real Estate
ITOT.US,ITOT,iShares Core S&P Total U.S. Stock Ma,S&P Total Market,S&P Total Market
XLU.US,XLU,Utilities Select Sector SPDR® Fund,S&P Utilities,S&P Utilities
SMH.US,SMH,VanEck Semiconductor ETF,Semiconductor,Semiconductor
SLV.US,SLV,iShares Silver Trust,Silver,Silver
IJR.US,IJR,iShares Core S&P Small-Cap ETF,Small Blend,Small Blend
VB.US,VB,Vanguard Small-Cap Index Fund ETF Sh,Small Blend,Small Blend
SCHA.US,SCHA,Schwab U.S. Small-Cap ETF,Small Blend,Small Blend
SPSM.US,SPSM,SPDR® Portfolio S&P 600 Small Cap ET,Small Blend,Small Blend
VBK.US,VBK,Vanguard Small-Cap Growth Index Fund,Small Growth,Small Growth
AVUV.US,AVUV,Avantis® U.S. Small Cap Value ETF,Small Value,Small Value
IJS.US,IJS,iShares S&P Small-Cap 600 Value ETF,Small Value,Small Value
TAN.US,TAN,Invesco Solar ETF,Solar,Solar
ISTM.US,ISTM,iShares Strategic Metals ETF,Strategic Metals,Strategic Metals
DRAM.US,DRAM,Roundhill Memory ETF,Technology,Technology
IGV.US,IGV,iShares Expanded Tech-Software Secto,Technology,Technology
FXL.US,FXL,First Trust Technology AlphaDEX® Fun,Technology,Technology
VGT.US,VGT,Vanguard Information Technology Inde,Technology,Technology
ARKK.US,ARKK,ARK Innovation ETF,Technology,Technology
MAGS.US,MAGS,Roundhill Magnificent Seven ETF,Technology,Technology
CIBR.US,CIBR,First Trust NASDAQ Cybersecurity ETF,Technology,Technology
BAI.US,BAI,iShares A.I. Innovation and Tech Act,Technology,Technology
AIQ.US,AIQ,Global X Artificial Intelligence & T,Technology,Technology
QTUM.US,QTUM,Defiance Quantum ETF,Technology,Technology
IYW.US,IYW,iShares U.S. Technology ETF,Technology,Technology
VXX.US,VXX,iPath Series B S&P 500 VIX Shor,Volatility (VIX),Volatility (VIX)
USO.US,USO,United States Oil Fund LP,WTI Crude Oil,WTI Crude Oil
