Ticker,Code,Name,Sector,SubIndustry,SWL1,SWL3,AvgAmtQian,LatestDate
601678.SH,601678,滨化股份,基础化工,氯碱,7602,76020102,1156270.0,20260618
002340.SZ,002340,格林美,电力设备,电池化学品,760m,760m0502,1151342.0,20260618
000737.SZ,000737,北方铜业,有色金属,铜,7604,76040202,1147241.0,20260618
603823.SH,603823,百合花,基础化工,涂料油墨,7602,76020201,1143962.0,20260618
603045.SH,603045,福达合金,有色金属,其他金属新材料,7604,76040101,1139728.0,20260618
600426.SH,600426,华鲁恒升,基础化工,氮肥,7602,76020601,1139105.0,20260618
688800.SH,688800,瑞可达,电子,其他电子,7605,76050401,1137516.0,20260618
002497.SZ,002497,雅化集团,有色金属,锂,7604,76040503,1135590.0,20260618
301458.SZ,301458,钧崴电子,电子,被动元件,7605,76050202,1134822.0,20260618
301297.SZ,301297,富乐德,电子,半导体设备,7605,76050107,1131684.0,20260618
688661.SH,688661,和林微纳,电子,半导体材料,7605,76050102,1129946.0,20260618
300207.SZ,300207,欣旺达,电力设备,锂电池,760m,760m0501,1120898.0,20260618
002558.SZ,002558,巨人网络,传媒,游戏,760q,760q0101,1119572.0,20260618
002929.SZ,002929,润建股份,通信,通信工程及服务,760r,760r0102,1118689.0,20260618
002426.SZ,002426,胜利精密,电子,消费电子零部件及组装,7605,76050502,1118246.0,20260618
688343.SH,688343,云天励飞-U,计算机,IT服务,760p,760p0201,1114377.0,20260618
002335.SZ,002335,科华数据,电力设备,其他电源设备,760m,760m0203,1112318.0,20260618
601615.SH,601615,明阳智能,电力设备,风电整机,760m,760m0401,1112120.0,20260618
