code,name,sector
EW.US,Edwards Lifesciences,Health Care
EA.US,Electronic Arts,Communication Services
ELV.US,Elevance Health,Health Care
EME.US,Emcor,Industrials
EMR.US,Emerson Electric,Industrials
ETR.US,Entergy,Utilities
EOG.US,EOG Resources,Energy
EQT.US,EQT Corporation,Energy
EFX.US,Equifax,Industrials
EQIX.US,Equinix,Real Estate
EQR.US,Equity Residential,Real Estate
ERIE.US,Erie Indemnity,Financials
ESS.US,Essex Property Trust,Real Estate
EL.US,Estée Lauder Companies (The),Consumer Staples
EG.US,Everest Group,Financials
EVRG.US,Evergy,Utilities
ES.US,Eversource Energy,Utilities
EXC.US,Exelon,Utilities
EXE.US,Expand Energy,Energy
EXPE.US,Expedia Group,Consumer Discretionary
EXPD.US,Expeditors International,Industrials
EXR.US,Extra Space Storage,Real Estate
XOM.US,ExxonMobil,Energy
FFIV.US,"F5, Inc.",Information Technology
FDS.US,FactSet,Financials
FICO.US,Fair Isaac,Information Technology
FAST.US,Fastenal,Industrials
FRT.US,Federal Realty Investment Trust,Real Estate
FDX.US,FedEx,Industrials
FDXF.US,FedEx Freight,Industrials
FIS.US,Fidelity National Information Services,Financials
FITB.US,Fifth Third Bancorp,Financials
FSLR.US,First Solar,Information Technology
FE.US,FirstEnergy,Utilities
FISV.US,Fiserv,Financials
FLEX.US,Flex Ltd.,Information Technology
F.US,Ford Motor Company,Consumer Discretionary
FTNT.US,Fortinet,Information Technology
FTV.US,Fortive,Industrials
FOXA.US,Fox Corporation (Class A),Communication Services
FOX.US,Fox Corporation (Class B),Communication Services
BEN.US,Franklin Resources,Financials
FCX.US,Freeport-McMoRan,Materials
GRMN.US,Garmin,Consumer Discretionary
IT.US,Gartner,Information Technology
GE.US,GE Aerospace,Industrials
GEHC.US,GE HealthCare,Health Care
GEV.US,GE Vernova,Industrials
GEN.US,Gen Digital,Information Technology
GNRC.US,Generac,Industrials
GD.US,General Dynamics,Industrials
GIS.US,General Mills,Consumer Staples
GM.US,General Motors,Consumer Discretionary
GPC.US,Genuine Parts Company,Consumer Discretionary
GILD.US,Gilead Sciences,Health Care
GPN.US,Global Payments,Financials
GL.US,Globe Life,Financials
GDDY.US,GoDaddy,Information Technology
GS.US,Goldman Sachs,Financials
HAL.US,Halliburton,Energy
HIG.US,Hartford (The),Financials
HAS.US,Hasbro,Consumer Discretionary
HCA.US,HCA Healthcare,Health Care
DOC.US,Healthpeak Properties,Real Estate
HSIC.US,Henry Schein,Health Care
HSY.US,Hershey Company (The),Consumer Staples
HPE.US,Hewlett Packard Enterprise,Information Technology
HLT.US,Hilton Worldwide,Consumer Discretionary
HD.US,Home Depot (The),Consumer Discretionary
HONA.US,Honeywell Aerospace,Industrials
HON.US,Honeywell Technologies,Industrials
HRL.US,Hormel Foods,Consumer Staples
HST.US,Host Hotels & Resorts,Real Estate
HWM.US,Howmet Aerospace,Industrials
HPQ.US,HP Inc.,Information Technology
HUBB.US,Hubbell Incorporated,Industrials
HUM.US,Humana,Health Care
HBAN.US,Huntington Bancshares,Financials
HII.US,Huntington Ingalls Industries,Industrials
IBM.US,IBM,Information Technology
IEX.US,IDEX Corporation,Industrials
IDXX.US,Idexx Laboratories,Health Care
ITW.US,Illinois Tool Works,Industrials
INCY.US,Incyte,Health Care
IR.US,Ingersoll Rand,Industrials
PODD.US,Insulet Corporation,Health Care
INTC.US,Intel,Information Technology
IBKR.US,Interactive Brokers,Financials
ICE.US,Intercontinental Exchange,Financials
IFF.US,International Flavors & Fragrances,Materials
IP.US,International Paper,Materials
INTU.US,Intuit,Information Technology
ISRG.US,Intuitive Surgical,Health Care
IVZ.US,Invesco,Financials
INVH.US,Invitation Homes,Real Estate
IQV.US,IQVIA,Health Care
IRM.US,Iron Mountain,Real Estate
JBHT.US,J.B. Hunt,Industrials
JBL.US,Jabil,Information Technology
JKHY.US,Jack Henry & Associates,Financials
J.US,Jacobs Solutions,Industrials
JNJ.US,Johnson & Johnson,Health Care
JCI.US,Johnson Controls,Industrials
JPM.US,JPMorgan Chase,Financials
KVUE.US,Kenvue,Consumer Staples
KDP.US,Keurig Dr Pepper,Consumer Staples
KEY.US,KeyCorp,Financials
KEYS.US,Keysight Technologies,Information Technology
KMB.US,Kimberly-Clark,Consumer Staples
KIM.US,Kimco Realty,Real Estate
KMI.US,Kinder Morgan,Energy
KKR.US,KKR & Co.,Financials
KLAC.US,KLA Corporation,Information Technology
KHC.US,Kraft Heinz,Consumer Staples
KR.US,Kroger,Consumer Staples
LHX.US,L3Harris,Industrials
LH.US,Labcorp,Health Care
LRCX.US,Lam Research,Information Technology
LVS.US,Las Vegas Sands,Consumer Discretionary
LDOS.US,Leidos,Industrials
LEN.US,Lennar,Consumer Discretionary
LII.US,Lennox International,Industrials
LLY.US,Lilly (Eli),Health Care
LIN.US,Linde plc,Materials
LYV.US,Live Nation Entertainment,Communication Services
LMT.US,Lockheed Martin,Industrials
L.US,Loews Corporation,Financials
LOW.US,Lowe's,Consumer Discretionary
LULU.US,Lululemon Athletica,Consumer Discretionary
LITE.US,Lumentum,Information Technology
LYB.US,LyondellBasell,Materials
MTB.US,M&T Bank,Financials
MPC.US,Marathon Petroleum,Energy
MAR.US,Marriott International,Consumer Discretionary
MRSH.US,Marsh McLennan,Financials
MLM.US,Martin Marietta Materials,Materials
MRVL.US,Marvell Technology,Information Technology
MAS.US,Masco,Industrials
MA.US,Mastercard,Financials
MKC.US,McCormick & Company,Consumer Staples
MCD.US,McDonald's,Consumer Discretionary
MCK.US,McKesson Corporation,Health Care
MDT.US,Medtronic,Health Care
MRK.US,Merck & Co.,Health Care
META.US,Meta Platforms,Communication Services
MET.US,MetLife,Financials
MTD.US,Mettler Toledo,Health Care
MGM.US,MGM Resorts,Consumer Discretionary
MCHP.US,Microchip Technology,Information Technology
MU.US,Micron Technology,Information Technology
MSFT.US,Microsoft,Information Technology
MAA.US,Mid-America Apartment Communities,Real Estate
MRNA.US,Moderna,Health Care
TAP.US,Molson Coors Beverage Company,Consumer Staples
MDLZ.US,Mondelez International,Consumer Staples
MPWR.US,Monolithic Power Systems,Information Technology
MNST.US,Monster Beverage,Consumer Staples
MCO.US,Moody's Corporation,Financials
MS.US,Morgan Stanley,Financials
MOS.US,Mosaic Company (The),Materials
MSI.US,Motorola Solutions,Information Technology
MSCI.US,MSCI Inc.,Financials
NDAQ.US,"Nasdaq, Inc.",Financials
NTAP.US,NetApp,Information Technology
NFLX.US,Netflix,Communication Services
NEM.US,Newmont,Materials
NWSA.US,News Corp (Class A),Communication Services
NWS.US,News Corp (Class B),Communication Services
NEE.US,NextEra Energy,Utilities
NKE.US,"Nike, Inc.",Consumer Discretionary
NI.US,NiSource,Utilities
NDSN.US,Nordson Corporation,Industrials
NSC.US,Norfolk Southern,Industrials
NTRS.US,Northern Trust,Financials
NOC.US,Northrop Grumman,Industrials
NCLH.US,Norwegian Cruise Line Holdings,Consumer Discretionary
NRG.US,NRG Energy,Utilities
NUE.US,Nucor,Materials
NVDA.US,Nvidia,Information Technology
NVR.US,"NVR, Inc.",Consumer Discretionary
NXPI.US,NXP Semiconductors,Information Technology
ORLY.US,O’Reilly Automotive,Consumer Discretionary
OXY.US,Occidental Petroleum,Energy
ODFL.US,Old Dominion,Industrials
OMC.US,Omnicom Group,Communication Services
ON.US,ON Semiconductor,Information Technology
OKE.US,Oneok,Energy
ORCL.US,Oracle Corporation,Information Technology
OTIS.US,Otis Worldwide,Industrials
PCAR.US,Paccar,Industrials
PKG.US,Packaging Corporation of America,Materials
PLTR.US,Palantir Technologies,Information Technology
PANW.US,Palo Alto Networks,Information Technology
PSKY.US,Paramount Skydance Corporation,Communication Services
PH.US,Parker Hannifin,Industrials
PAYX.US,Paychex,Industrials
PYPL.US,PayPal,Financials
PNR.US,Pentair,Industrials
PEP.US,PepsiCo,Consumer Staples
PFE.US,Pfizer,Health Care
PCG.US,PG&E Corporation,Utilities
PM.US,Philip Morris International,Consumer Staples
PSX.US,Phillips 66,Energy
PNW.US,Pinnacle West Capital,Utilities
PNC.US,PNC Financial Services,Financials
PPG.US,PPG Industries,Materials
PPL.US,PPL Corporation,Utilities
PFG.US,Principal Financial Group,Financials
PG.US,Procter & Gamble,Consumer Staples
PGR.US,Progressive Corporation,Financials
PLD.US,Prologis,Real Estate
PRU.US,Prudential Financial,Financials
PEG.US,Public Service Enterprise Group,Utilities
PTC.US,PTC Inc.,Information Technology
PSA.US,Public Storage,Real Estate
PHM.US,PulteGroup,Consumer Discretionary
PWR.US,Quanta Services,Industrials
QCOM.US,Qualcomm,Information Technology
DGX.US,Quest Diagnostics,Health Care
Q.US,Qnity Electronics,Information Technology
RL.US,Ralph Lauren Corporation,Consumer Discretionary
RJF.US,Raymond James Financial,Financials
RTX.US,RTX Corporation,Industrials
O.US,Realty Income,Real Estate
REG.US,Regency Centers,Real Estate
REGN.US,Regeneron Pharmaceuticals,Health Care
RF.US,Regions Financial Corporation,Financials
RSG.US,Republic Services,Industrials
RMD.US,ResMed,Health Care
RVTY.US,Revvity,Health Care
HOOD.US,Robinhood Markets,Financials
ROK.US,Rockwell Automation,Industrials
ROL.US,"Rollins, Inc.",Industrials
ROP.US,Roper Technologies,Information Technology
ROST.US,Ross Stores,Consumer Discretionary
RCL.US,Royal Caribbean Group,Consumer Discretionary
SPGI.US,S&P Global,Financials
CRM.US,Salesforce,Information Technology
SNDK.US,Sandisk,Information Technology
SBAC.US,SBA Communications,Real Estate
SLB.US,Schlumberger,Energy
STX.US,Seagate Technology,Information Technology
SRE.US,Sempra,Utilities
NOW.US,ServiceNow,Information Technology
SHW.US,Sherwin-Williams,Materials
SPG.US,Simon Property Group,Real Estate
SWKS.US,Skyworks Solutions,Information Technology
SJM.US,J.M. Smucker Company (The),Consumer Staples
SW.US,Smurfit Westrock,Materials
SNA.US,Snap-on,Industrials
SOLV.US,Solventum,Health Care
SO.US,Southern Company,Utilities
LUV.US,Southwest Airlines,Industrials
SWK.US,Stanley Black & Decker,Industrials
SBUX.US,Starbucks,Consumer Discretionary
STT.US,State Street Corporation,Financials
STLD.US,Steel Dynamics,Materials
STE.US,Steris,Health Care
SYK.US,Stryker Corporation,Health Care
SMCI.US,Supermicro,Information Technology
SYF.US,Synchrony Financial,Financials
SNPS.US,Synopsys,Information Technology
SYY.US,Sysco,Consumer Staples
TMUS.US,T-Mobile US,Communication Services
TROW.US,T. Rowe Price,Financials
TTWO.US,Take-Two Interactive,Communication Services
TPR.US,"Tapestry, Inc.",Consumer Discretionary
TRGP.US,Targa Resources,Energy
TGT.US,Target Corporation,Consumer Staples
TEL.US,TE Connectivity,Information Technology
TDY.US,Teledyne Technologies,Information Technology
TER.US,Teradyne,Information Technology
TSLA.US,"Tesla, Inc.",Consumer Discretionary
TXN.US,Texas Instruments,Information Technology
TPL.US,Texas Pacific Land Corporation,Energy
TXT.US,Textron,Industrials
TMO.US,Thermo Fisher Scientific,Health Care
TJX.US,TJX Companies,Consumer Discretionary
TKO.US,TKO Group Holdings,Communication Services
TTD.US,Trade Desk (The),Communication Services
TSCO.US,Tractor Supply,Consumer Discretionary
TT.US,Trane Technologies,Industrials
TDG.US,TransDigm Group,Industrials
TRV.US,Travelers Companies (The),Financials
TRMB.US,Trimble Inc.,Information Technology
TFC.US,Truist Financial,Financials
TYL.US,Tyler Technologies,Information Technology
TSN.US,Tyson Foods,Consumer Staples
USB.US,U.S. Bancorp,Financials
UBER.US,Uber,Industrials
UDR.US,"UDR, Inc.",Real Estate
ULTA.US,Ulta Beauty,Consumer Discretionary
UNP.US,Union Pacific Corporation,Industrials
UAL.US,United Airlines Holdings,Industrials
UPS.US,United Parcel Service,Industrials
URI.US,United Rentals,Industrials
UNH.US,UnitedHealth Group,Health Care
UHS.US,Universal Health Services,Health Care
VLO.US,Valero Energy,Energy
