ticker_raw,name_cn,gics_sector,code
6618 HK,京东健康,,6618.HK
2517 HK,锅圈,,2517.HK
1833 HK,平安好医生,,1833.HK
1138 HK,中远海能,,1138.HK
3668 HK,兖煤澳大利亚,,3668.HK
1171 HK,兖矿能源,,1171.HK
857 HK,中国石油股份,,0857.HK
1088 HK,中国神华,,1088.HK
883 HK,中国海洋石油,,0883.HK
1898 HK,中煤能源,,1898.HK
2883 HK,中海油田服务,,2883.HK
1033 HK,中石化油服,,1033.HK
386 HK,中国石油化工股份,,0386.HK
956 HK,新天绿色能源,,0956.HK
1164 HK,中广核矿业,,1164.HK
823 HK,领展房产基金,,0823.HK
3908 HK,中金公司,,3908.HK
6099 HK,招商证券,,6099.HK
3877 HK,中国船舶租赁,,3877.HK
6030 HK,中信证券,,6030.HK
1776 HK,广发证券,,1776.HK
388 HK,香港交易所,,0388.HK
6066 HK,中信建投证券,,6066.HK
2611 HK,国泰海通,,2611.HK
6886 HK,华泰证券,,6886.HK
806 HK,惠理集团,,0806.HK
3360 HK,远东宏信,,3360.HK
3958 HK,东方证券,,3958.HK
1428 HK,耀才证券金融,,1428.HK
1788 HK,国泰君安国际,,1788.HK
1359 HK,中国信达,,1359.HK
6881 HK,中国银河,,6881.HK
2799 HK,中信金融资产,,2799.HK
9636 HK,九方智投控股,,9636.HK
2858 HK,易鑫集团,,2858.HK
6608 HK,百融云-W,,6608.HK
3887 HK,HASHKEY HLDGS,,3887.HK
9980 HK,东鹏饮料,,9980.HK
2319 HK,蒙牛乳业,,2319.HK
1579 HK,颐海国际,,1579.HK
2648 HK,安井食品,,2648.HK
322 HK,康师傅控股,,0322.HK
345 HK,维他奶国际,,0345.HK
3288 HK,海天味业,,3288.HK
288 HK,万洲国际,,0288.HK
168 HK,青岛啤酒股份,,0168.HK
220 HK,统一企业中国,,0220.HK
291 HK,华润啤酒,,0291.HK
6979 HK,珍酒李渡,,6979.HK
1876 HK,百威亚太,,1876.HK
9633 HK,农夫山泉,,9633.HK
2714 HK,牧原股份,,2714.HK
1458 HK,周黑鸭,,1458.HK
6186 HK,中国飞鹤,,6186.HK
2460 HK,华润饮料,,2460.HK
1117 HK,现代牧业,,1117.HK
151 HK,中国旺旺,,0151.HK
6969 HK,思摩尔国际,,6969.HK
9858 HK,优然牧业,,9858.HK
2419 HK,德康农牧,,2419.HK
1610 HK,中粮家佳康,,1610.HK
9985 HK,卫龙美味,,9985.HK
1187 HK,可孚医疗,,1187.HK
6606 HK,诺辉健康(退市),,6606.HK
6699 HK,时代天使,,6699.HK
1112 HK,H&H国际控股,,1112.HK
2607 HK,上海医药,,2607.HK
2273 HK,固生堂,,2273.HK
1951 HK,锦欣生殖,,1951.HK
874 HK,白云山,,0874.HK
1099 HK,国药控股,,1099.HK
2158 HK,医渡科技,,2158.HK
2506 HK,讯飞医疗科技,,2506.HK
2252 HK,微创机器人-B,,2252.HK
2172 HK,微创脑科学,,2172.HK
6078 HK,海吉亚医疗,,6078.HK
2192 HK,医脉通,,2192.HK
2609 HK,佰泽医疗,,2609.HK
1066 HK,威高股份,,1066.HK
853 HK,微创医疗,,0853.HK
2276 HK,康耐特光学,,2276.HK
2587 HK,健康之路,,2587.HK
2160 HK,微创心通-B,,2160.HK
973 HK,L'OCCITANE(退市),,0973.HK
2698 HK,乐舒适,,2698.HK
2367 HK,巨子生物,,2367.HK
1044 HK,恒安国际,,1044.HK
1318 HK,毛戈平,,1318.HK
2657 HK,林清轩,,2657.HK
2145 HK,上美股份,,2145.HK
966 HK,中国太平,,0966.HK
2628 HK,中国人寿,,2628.HK
1299 HK,友邦保险,,1299.HK
2378 HK,保诚,,2378.HK
1336 HK,新华保险,,1336.HK
2328 HK,中国财险,,2328.HK
2318 HK,中国平安,,2318.HK
2601 HK,中国太保,,2601.HK
1339 HK,中国人民保险集团,,1339.HK
1508 HK,中国再保险,,1508.HK
1828 HK,富卫集团,,1828.HK
6060 HK,众安在线,,6060.HK
6067 HK,星源材质,,6067.HK
6228 HK,MERDEKAGOLD-DRS,,6228.HK
2768 HK,国恩科技,,2768.HK
3939 HK,万国黄金集团,,3939.HK
2689 HK,玖龙纸业,,2689.HK
3858 HK,佳鑫国际资源,,3858.HK
189 HK,东岳集团,,0189.HK
2099 HK,中国黄金国际,,2099.HK
3330 HK,灵宝黄金,,3330.HK
6693 HK,赤峰黄金,,6693.HK
1866 HK,中国心连心化肥,,1866.HK
1258 HK,中国有色矿业,,1258.HK
1208 HK,五矿资源,,1208.HK
2899 HK,紫金矿业,,2899.HK
3993 HK,洛阳钼业,,3993.HK
358 HK,江西铜业股份,,0358.HK
914 HK,海螺水泥,,0914.HK
2788 HK,创新实业,,2788.HK
6655 HK,华新建材,,6655.HK
2259 HK,紫金黄金国际,,2259.HK
1772 HK,赣锋锂业,,1772.HK
1378 HK,中国宏桥,,1378.HK
3323 HK,中国建材,,3323.HK
1313 HK,华润建材科技,,1313.HK
2465 HK,龙蟠科技,,2465.HK
2600 HK,中国铝业,,2600.HK
1818 HK,招金矿业,,1818.HK
9696 HK,天齐锂业,,9696.HK
2610 HK,南山铝业国际,,2610.HK
1787 HK,山东黄金,,1787.HK
2518 HK,汽车之家-S,,2518.HK
811 HK,新华文轩,,0811.HK
2390 HK,知乎-W,,2390.HK
2603 HK,吉宏股份,,2603.HK
9999 HK,网易-S,,9999.HK
3888 HK,金山软件,,3888.HK
9898 HK,微博-SW,,9898.HK
9888 HK,百度集团-SW,,9888.HK
700 HK,腾讯控股,,0700.HK
1896 HK,猫眼娱乐,,1896.HK
9626 HK,哔哩哔哩-W,,9626.HK
1860 HK,汇量科技,,1860.HK
1024 HK,快手-W,,1024.HK
2400 HK,心动公司,,2400.HK
136 HK,中国儒意,,0136.HK
9899 HK,网易云音乐,,9899.HK
1097 HK,有线宽频,,1097.HK
1357 HK,美图公司,,1357.HK
772 HK,阅文集团,,0772.HK
1698 HK,腾讯音乐-SW,,1698.HK
1060 HK,大麦娱乐,,1060.HK
917 HK,趣致集团,,0917.HK
2493 HK,迈威生物-B,,2493.HK
1558 HK,东阳光长江药业(退市),,1558.HK
9637 HK,礼邦医药-B,,9637.HK
6821 HK,凯莱英,,6821.HK
2359 HK,药明康德,,2359.HK
2162 HK,康诺亚-B,,2162.HK
2315 HK,百奥赛图-B,,2315.HK
6990 HK,科伦博泰生物-B,,6990.HK
3696 HK,英矽智能,,3696.HK
1548 HK,金斯瑞生物科技,,1548.HK
9887 HK,维立志博-B,,9887.HK
2269 HK,药明生物,,2269.HK
6127 HK,昭衍新药,,6127.HK
3759 HK,康龙化成,,3759.HK
9995 HK,荣昌生物,,9995.HK
1801 HK,信达生物,,1801.HK
9688 HK,再鼎医药,,9688.HK
9969 HK,诺诚健华,,9969.HK
3320 HK,华润医药,,3320.HK
2096 HK,先声药业,,2096.HK
6160 HK,百济神州,,6160.HK
2142 HK,和铂医药-B,,2142.HK
1093 HK,石药集团,,1093.HK
2696 HK,复宏汉霖,,2696.HK
2171 HK,科济药业-B,,2171.HK
867 HK,康哲药业,,0867.HK
2157 HK,乐普生物-B,,2157.HK
2268 HK,药明合联,,2268.HK
9926 HK,康方生物,,9926.HK
3692 HK,翰森制药,,3692.HK
1877 HK,君实生物,,1877.HK
3347 HK,泰格医药,,3347.HK
2196 HK,复星医药,,2196.HK
13 HK,和黄医药,,0013.HK
2005 HK,石四药集团,,2005.HK
1177 HK,中国生物制药,,1177.HK
1276 HK,恒瑞医药,,1276.HK
9606 HK,映恩生物-B,,9606.HK
9966 HK,康宁杰瑞制药-B,,9966.HK
2186 HK,绿叶制药,,2186.HK
2228 HK,晶泰控股,,2228.HK
460 HK,四环医药,,0460.HK
1530 HK,三生制药,,1530.HK
2627 HK,中慧生物-B,,2627.HK
6855 HK,亚盛医药-B,,6855.HK
6185 HK,康希诺生物,,6185.HK
570 HK,中国中药,,0570.HK
2629 HK,MIRXES-B,,2629.HK
2591 HK,银诺医药-B,,2591.HK
2565 HK,派格生物医药-B,,2565.HK
2617 HK,药捷安康-B,,2617.HK
9666 HK,金科服务(退市),,9666.HK
16 HK,新鸿基地产,,0016.HK
1109 HK,华润置地,,1109.HK
1113 HK,长实集团,,1113.HK
817 HK,中国金茂,,0817.HK
688 HK,中国海外发展,,0688.HK
1972 HK,太古地产,,1972.HK
83 HK,信和置业,,0083.HK
1997 HK,九龙仓置业,,1997.HK
2423 HK,贝壳-W,,2423.HK
6098 HK,碧桂园服务,,6098.HK
12 HK,恒基地产,,0012.HK
1908 HK,建发国际集团,,1908.HK
683 HK,嘉里建设,,0683.HK
14 HK,希慎兴业,,0014.HK
2602 HK,万物云,,2602.HK
2869 HK,绿城服务,,2869.HK
10 HK,恒隆集团,,0010.HK
17 HK,新世界发展,,0017.HK
6049 HK,保利物业,,6049.HK
1209 HK,华润万象生活,,1209.HK
123 HK,越秀地产,,0123.HK
101 HK,恒隆地产,,0101.HK
4 HK,九龙仓集团,,0004.HK
3900 HK,绿城中国,,3900.HK
604 HK,深圳控股,,0604.HK
3319 HK,雅生活服务,,3319.HK
2669 HK,中海物业,,2669.HK
960 HK,龙湖集团,,0960.HK
2202 HK,万科企业,,2202.HK
3990 HK,美的置业,,3990.HK
1030 HK,新城发展,,1030.HK
1516 HK,融创服务,,1516.HK
2007 HK,碧桂园,,2007.HK
1918 HK,融创中国,,1918.HK
2701 HK,国民技术,,2701.HK
9903 HK,天数智芯,,9903.HK
6809 HK,澜起科技,,6809.HK
3986 HK,兆易创新,,3986.HK
501 HK,豪威集团,,0501.HK
1879 HK,曦智科技-P,,1879.HK
